map_name,scenario,threads,mapsize,pinning,n_samples,ops_per_sec_mean,ops_per_sec_std,ops_per_sec_se,ops_per_sec_ci95_low,ops_per_sec_ci95_high,latency_mean_ns,latency_std_ns,latency_ci95_low,latency_ci95_high,p50_latency_ns,p90_latency_ns,p95_latency_ns,p99_latency_ns,peak_rss_kb,bytes_per_entry
dashmap,read_majority_95,2,100000,spread,40,93313536.91,338158.50,53467.55,93208740.51,93418333.32,45.63,1.47,45.18,46.09,44,55,59,73,5296,54.23
dashmap,read_majority_95,4,10000000,compact,40,38358684.32,251566.17,39776.10,38280723.16,38436645.48,201.63,6.66,199.57,203.69,179,264,305,560,281880,28.85
dashmap,read_majority_95,4,10000000,spread,40,38326542.38,333553.12,52739.38,38223173.20,38429911.56,201.57,7.97,199.10,204.04,180,264,306,552,281836,28.84
dashmap,read_majority_95,4,1000000,compact,40,79749049.98,716356.07,113265.84,79527048.94,79971051.03,95.35,8.07,92.85,97.85,89,130,154,210,38144,38.88
dashmap,read_majority_95,4,1000000,spread,40,79639968.58,722169.16,114184.97,79416166.04,79863771.12,93.38,4.11,92.11,94.66,88,130,156,210,38328,38.90
dashmap,read_majority_95,4,100000,compact,40,103205095.17,774472.30,122454.82,102965083.72,103445106.62,74.18,2.38,73.44,74.92,73,110,122,160,5348,54.76
dashmap,read_majority_95,4,100000,spread,40,102822744.33,338012.97,53444.54,102717993.02,102927495.63,74.04,1.13,73.69,74.40,74,110,123,160,5324,54.52
dashmap,read_majority_95,8,10000000,compact,40,68161313.14,743752.64,117597.62,67930821.81,68391804.47,223.09,11.81,219.43,226.75,197,295,328,553,282024,28.85
dashmap,read_majority_95,8,10000000,spread,40,68444781.57,343484.22,54309.62,68338334.71,68551228.43,221.71,10.82,218.36,225.07,197,293,331,550,282012,28.85
dashmap,read_majority_95,8,1000000,compact,40,130819154.46,2102118.43,332374.11,130167701.21,131470607.71,111.60,6.92,109.45,113.74,101,156,179,245,38284,38.91
dashmap,read_majority_95,8,1000000,spread,40,131113975.23,1381794.76,218480.94,130685752.60,131542197.86,111.57,6.91,109.43,113.72,101,156,182,258,38204,38.91
dashmap,read_majority_95,8,100000,compact,40,156663562.68,1460282.04,230890.86,156211016.59,157116108.77,95.10,2.47,94.34,95.87,87,138,160,239,5420,55.50
dashmap,read_majority_95,8,100000,spread,40,156238693.06,248282.59,39256.92,156161749.49,156315636.64,94.47,1.49,94.01,94.93,87,139,162,236,5400,55.30
dashmap,read_majority_99,16,10000000,compact,40,111110104.38,454734.43,71899.83,110969180.72,111251028.04,264.09,4.24,262.78,265.41,243,365,427,656,281948,28.87
dashmap,read_majority_99,16,10000000,spread,40,111037038.88,525459.09,83082.38,110874197.42,111199880.34,265.50,3.73,264.35,266.66,243,367,429,660,281864,28.86
dashmap,read_majority_99,16,1000000,compact,40,173045367.66,490608.55,77572.02,172893326.50,173197408.83,145.13,3.24,144.12,146.13,130,214,250,358,38160,39.08
dashmap,read_majority_99,16,1000000,spread,40,173186057.16,532176.23,84144.45,173021134.04,173350980.28,144.55,2.61,143.74,145.36,129,216,252,361,38148,39.06
dashmap,read_majority_99,16,100000,compact,40,223270847.29,432708.99,68417.30,223136749.38,223404945.20,119.32,2.02,118.69,119.95,105,183,221,345,5524,56.57
dashmap,read_majority_99,16,100000,spread,40,226388887.65,574147.82,90780.74,226210957.40,226566817.91,116.99,2.16,116.33,117.66,103,182,218,337,5560,56.93
dashmap,read_majority_99,1,10000000,compact,40,20043753.11,59046.99,9336.15,20025454.25,20062051.96,180.48,7.19,178.25,182.71,146,223,424,560,281764,28.84
dashmap,read_majority_99,1,10000000,spread,40,20020711.02,66536.68,10520.37,20000091.09,20041330.95,178.28,3.17,177.30,179.26,146,222,381,558,281764,28.84
dashmap,read_majority_99,1,1000000,compact,40,44701310.52,712079.40,112589.64,44480634.83,44921986.22,62.89,1.41,62.45,63.32,59,72,121,139,37948,38.86
dashmap,read_majority_99,1,1000000,spread,40,44605144.30,362836.87,57369.55,44492699.99,44717588.61,63.00,1.73,62.46,63.53,59,72,122,139,38272,38.87
dashmap,read_majority_99,1,100000,compact,40,81658521.94,1189696.09,188107.47,81289831.30,82027212.57,37.99,1.53,37.52,38.46,35,47,49,60,5272,53.99
dashmap,read_majority_99,1,100000,spread,40,82017521.61,298830.57,47249.26,81924913.06,82110130.17,37.79,0.47,37.64,37.93,35,47,48,61,5324,54.52
dashmap,read_majority_99,2,10000000,compact,40,21272128.43,825611.00,130540.56,21016268.93,21527987.93,181.37,13.42,177.21,185.53,151,228,260,538,281824,28.84
dashmap,read_majority_99,2,10000000,spread,40,21365803.43,85780.75,13563.13,21339219.70,21392387.16,179.11,2.73,178.27,179.96,151,228,264,532,282036,28.84
dashmap,read_majority_99,2,1000000,compact,40,54862376.90,484174.26,76554.67,54712329.74,55012424.05,71.00,1.28,70.60,71.40,66,82,132,152,38136,38.85
dashmap,read_majority_99,2,1000000,spread,40,54425287.95,409577.02,64759.81,54298358.71,54552217.18,71.60,2.54,70.82,72.39,66,82,133,151,38304,38.86
dashmap,read_majority_99,2,100000,compact,40,95444648.73,340481.24,53834.81,95339132.50,95550164.96,44.47,0.43,44.33,44.60,43,54,56,70,5304,54.31
